festival_a,festival_b,shared_film_count
Cannes Film Festival,Melbourne International Film Festival,10
FEST - New Directors / New Films,Helsinki International Film Festival - Love & Anarchy,10
Clermont-Ferrand International Short Film Festival,FEST - New Directors / New Films,10
Encounters Short Film and Animation Festival,Côté Court,10
SXSW Film Festival,Guanajuato International Film Festival,10
Clermont-Ferrand International Short Film Festival,Athens International Film and Video Festival,10
Encounters Short Film and Animation Festival,Mill Valley Film Festival,10
Encounters Short Film and Animation Festival,International Documentary Film Festival Amsterdam,10
Chéries-Chéris,Encounters Short Film and Animation Festival,10
Encounters Short Film and Animation Festival,Moscow International Film Festival,10
Dokufest International Documentary and Short Film Festival,Melbourne International Film Festival,10
Lima Alterna International Film Festival,Encounters Short Film and Animation Festival,10
Warsaw International Film Festival,Tallinn Black Nights Film Festival,10
Helsinki International Film Festival - Love & Anarchy,IndieLisboa International Independent Film Festival,10
Palm Springs International ShortFest,Hong Kong International Film Festival,10
Oberhausen International Short Film Festival,Guanajuato International Film Festival,10
Palm Springs International ShortFest,Curtas Vila do Conde International Film Festival,10
Locarno International Film Festival,Palm Springs International ShortFest,10
Encounters Short Film and Animation Festival,Valdivia International Film Festival,10
Sitges - Catalonian International Film Festival,Annecy International Animation Festival,10
Tallinn Black Nights Film Festival,Reykjavik International Film Festival,10
Palm Springs International ShortFest,Sarajevo Film Festival,10
Solothurn Film Festival,Annecy International Animation Festival,10
Locarno International Film Festival,Tallinn Black Nights Film Festival,10
Solothurn Film Festival,Locarno International Film Festival,10
Tallinn Black Nights Film Festival,Riga International Film Festival,10
DOK Leipzig,Festival du Nouveau Cinéma,10
Palm Springs International ShortFest,Raindance Film Festival,10
Guanajuato International Film Festival,Melbourne International Film Festival,10
Internationale Kurzfilmtage Winterthur,Ottawa International Animation Festival,9
Tallinn Black Nights Film Festival,Fantasia Film Festival,9
Dokufest International Documentary and Short Film Festival,Guanajuato International Film Festival,9
Clermont-Ferrand International Short Film Festival,Bilbao International Festival of Documentary and Short Films,9
Encounters Short Film and Animation Festival,Diagonale: Festival of Austrian Film,9
Bilbao International Festival of Documentary and Short Films,Kurzfilm Festival Hamburg,9
Clermont-Ferrand International Short Film Festival,DOK Leipzig,9
Cannes Film Festival,Internationale Kurzfilmtage Winterthur,9
Toronto International Film Festival,Annecy International Animation Festival,9
Encounters Short Film and Animation Festival,OFF - Odense International Film Festival,9
Milwaukee International Film Festival,Guanajuato International Film Festival,9
Ann Arbor Film Festival,Tallinn Black Nights Film Festival,9
AFI Fest,Milwaukee International Film Festival,9
FEST - New Directors / New Films,Dokufest International Documentary and Short Film Festival,9
Clermont-Ferrand International Short Film Festival,Côté Court,9
Encounters Short Film and Animation Festival,Miami International Film Festival,9
Seattle International Film Festival,Annecy International Animation Festival,9
São Paulo International Short Film Festival – Curta Kinoforum,Helsinki International Film Festival - Love & Anarchy,9
Encounters Short Film and Animation Festival,25FPS Festival,9
Palm Springs International ShortFest,Fantasia Film Festival,9
Reykjavik International Film Festival,Curtas Vila do Conde International Film Festival,9
Dokufest International Documentary and Short Film Festival,Kurzfilm Festival Hamburg,9
